Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC
BiGRU,0.97875,0.9965928449744463,0.975,0.9856781802864364,0.9981354166666667
MLP,0.989375,0.989247311827957,0.9966666666666667,0.9929431299294313,0.9980458333333334
BiLSTM,0.984375,0.9891756869275604,0.99,0.9895876718034152,0.9976
CNN_BiLSTM_Hybrid,0.985625,0.9949537426408747,0.9858333333333333,0.9903725408120553,0.9974854166666667
CNN_1D,0.985,0.9867549668874173,0.9933333333333333,0.9900332225913622,0.9969145833333333
Transformer,0.95625,0.9845626072041166,0.9566666666666667,0.9704142011834319,0.9919854166666667
