Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC,CV_Mean,CV_Std
SVM,0.986875,0.9859851607584501,0.9966666666666667,0.9912971404890178,0.996,0.9875,0.0019764235376052127
Random Forest,0.979375,0.976326530612245,0.9966666666666667,0.9863917525773196,0.9882572916666666,0.9793749999999999,0.003846416757840965
KNN,0.966875,0.9577015163607342,1.0,0.9783938035059111,0.9669718749999999,0.96390625,0.004086467759569376
Decision Tree,0.953125,0.9591836734693877,0.9791666666666666,0.9690721649484536,0.91921875,0.9454687500000001,0.004619295468467034
Logistic Regression,0.66375,0.8316633266533067,0.6916666666666667,0.7552320291173794,0.63709375,0.640625,0.006131692771983938
